Year,State,Gallons of ethanol (absolute alcohol),Population (age 14 and older),Gallons of ethanol per capita age 14 and older,Decile for per capita consumption age 14 and older,Population (age 21 and older),Gallons of ethanol per capita age 21 and older,Decile for per capita consumption age 21 and older,Gallons of ethanol derived from time-varying ABV
2009,Georgia,15423202,7691025,20054,9.0,6704296,3005,9.0,15182091.0
2009,Hawaii,2772713,1112396,24926,4.0,991361,7969,4.0,2705356.0
2009,Idaho,2675436,1220331,21924,7.0,1059811,5244,7.0,2619199.0
2009,Illinois,24486528,10396053,23554,5.0,9111227,6875,5.0,23881271.0
2009,Indiana,10704007,5218677,20511,8.0,4553593,3507,8.0,10402355.0
2009,Iowa,5716550,2472018,23125,6.0,2165984,6392,6.0,5473231.0
2009,Kansas,4518846,2271172,19897,9.0,1984275,2773,9.0,4424889.0
2009,Kentucky,6510816,3527473,18457,0.0,3113123,914,0.0,6468240.0
2009,Louisiana,9564411,3631334,26339,3.0,3173206,141,3.0,9391483.0
2009,Maine,2854141,1121322,25453,4.0,997502,8613,4.0,2740071.0
2009,Maryland,10280483,4700302,21872,8.0,4133036,4874,8.0,10075786.0
2009,Massachusetts,13567656,5441020,24936,4.0,4791268,8317,4.0,13078191.0
2009,Michigan,18051307,8112878,22250,7.0,7077326,5506,7.0,17464814.0
2009,Minnesota,11127943,4291289,25931,3.0,3775789,9472,3.0,10764918.0
2009,Mississippi,5361011,2374385,22579,7.0,2061047,6011,7.0,5291813.0
2009,Missouri,11826765,4865251,24309,5.0,4272736,7680,5.0,11506891.0
2009,Montana,2410197,812980,29646,2.0,718998,3522,2.0,2356294.0
2009,Nebraska,3343382,1457201,22944,6.0,1276017,6202,6.0,3272876.0
2009,Nevada,6945246,2166768,32053,1.0,1914076,6285,1.0,6760398.0
2009,New Hampshire,4912524,1099136,44694,1.0,967557,772,1.0,4714257.0
2009,New Jersey,16800195,7180166,23398,6.0,6352894,6445,6.0,16361027.0
2009,New Mexico,3900318,1638907,23798,5.0,1430793,7260,5.0,3818421.0
2009,New York,33344485,16019762,20815,8.0,14101515,3646,8.0,32746409.0
2009,North Carolina,15442320,7685536,20093,9.0,6761017,2840,9.0,15384543.0
2009,North Dakota,1626475,550227,29560,2.0,481737,3763,2.0,1586806.0
2009,Ohio,19146287,9432464,20298,8.0,8281236,3120,8.0,18678717.0
2009,Oklahoma,5781396,2998542,19281,9.0,2628324,1997,9.0,5708724.0
2009,Oregon,8149899,3141368,25944,3.0,2784465,9269,3.0,8044420.0
2009,Pennsylvania,23945984,10551952,22693,7.0,9283181,5795,7.0,23413429.0
2009,Rhode Island,2183235,884047,24696,4.0,769620,8368,4.0,2095808.0
2009,South Carolina,8808711,3756617,23449,6.0,3293695,6744,5.0,8824655.0
2009,South Dakota,1723872,650671,26494,3.0,569937,247,3.0,1670503.0
2009,Tennessee,9406478,5153184,18254,0.0,4544534,698,0.0,9264274.0
2009,Texas,44149041,19498879,22642,7.0,16900652,6123,7.0,42908092.0
2009,Utah,2767438,2036793,13587,0.0,1732093,5977,0.0,2695016.0
2009,Vermont,1464261,527719,27747,2.0,462602,1653,2.0,1446943.0
2009,Virginia,13699292,6506010,21056,8.0,5734453,3889,8.0,13556898.0
2009,Washington,12796519,5457093,23449,5.0,4811442,6596,6.0,12590616.0
2009,West Virginia,2744955,1550080,17708,0.0,1381902,9864,0.0,2715325.0
2009,Wisconsin,13765572,4643023,29648,2.0,4081866,3724,2.0,13404359.0
2009,Wyoming,1242520,454359,27347,2.0,400129,1053,2.0,1202858.0
2009,Northeast Region,105883914,45767861,23135,,40319583,6261,,3800440.0
2009,Midwest Region,126037535,54360924,23185,,47631723,6461,,22547680.0
2009,South Region,203686376,92162389,22101,,80890280,5181,,99965348.0
2009,West Region,136501718,57578654,23707,,50265924,7156,,32965440.0
2009,United States,572109543,249869828,22896,,219107510,6111,,58070947.0
2010,Alabama,7738606,3917228,19755,9.0,3439923,2496,9.0,7635230.0
2010,Alaska,1720688,567688,30310,1.0,494781,4777,1.0,1663438.0
2010,Arizona,12300618,5140264,23930,5.0,4496526,7356,5.0,12065036.0
2010,Arkansas,4199666,2368571,17731,0.0,2082760,164,0.0,4127347.0
2010,California,65439168,30231481,21646,8.0,26311028,4871,8.0,63960156.0
2010,Colorado,11062277,4085898,27074,2.0,3610748,637,3.0,10723917.0
2010,Connecticut,6976221,2965187,23527,5.0,2613558,6692,5.0,6719181.0
2010,Delaware,2508105,741791,33811,1.0,652404,8444,1.0,2422865.0
2010,District of Columbia,2014600,525984,38302,1.0,468680,2985,1.0,1971386.0
2010,Florida,39879060,15792255,25252,4.0,14081826,8320,4.0,38898610.0
2010,Georgia,15415301,7776702,19822,9.0,6786608,2714,9.0,15204997.0
2010,Hawaii,2795337,1127965,24782,4.0,1006721,7767,4.0,2734863.0
2010,Idaho,2677241,1233863,21698,7.0,1073441,4941,7.0,2620884.0
2010,Illinois,24583587,10448205,23529,5.0,9168998,6812,5.0,24016945.0
2010,Indiana,10665406,5251477,20309,8.0,4586653,3253,8.0,10380720.0
2010,Iowa,5728122,2486638,23036,6.0,2182222,6249,6.0,5481351.0
2010,Kansas,4469118,2290063,19515,9.0,2003312,2309,9.0,4383040.0
2010,Kentucky,6514866,3554874,18327,0.0,3139616,751,0.0,6488327.0
2010,Louisiana,9367234,3676874,25476,3.0,3223137,9062,3.0,9203431.0
2010,Maine,2871777,1121796,25600,3.0,1000421,8706,3.0,2760420.0
2010,Maryland,10485112,4754426,22053,7.0,4190574,5021,7.0,10296752.0
2010,Massachusetts,13712143,5491773,24969,4.0,4839767,8332,4.0,13257031.0
2010,Michigan,18090757,8112250,22301,7.0,7089538,5518,7.0,17523254.0
2010,Minnesota,10545580,4318246,24421,4.0,3806671,7703,4.0,10239888.0
2010,Mississippi,5309738,2388228,22233,7.0,2077491,5558,7.0,5237652.0
2010,Missouri,11781900,4898302,24053,5.0,4309460,7340,5.0,11499805.0
2010,Montana,2442712,818739,29835,2.0,725762,3657,2.0,2392504.0
2010,Nebraska,3353837,1469788,22819,6.0,1289245,6014,6.0,3289005.0
2010,Nevada,7226889,2187072,33044,1.0,1933203,7383,1.0,7039270.0
2010,New Hampshire,4963123,1103179,44989,1.0,973101,1003,1.0,4768180.0
2010,New Jersey,17005751,7227370,23530,5.0,6400873,6568,5.0,16624639.0
2010,New Mexico,3785785,1662298,22774,6.0,1454537,6027,6.0,3706976.0
2010,New York,33617746,16118340,20857,8.0,14216229,3647,8.0,33085099.0
2010,North Carolina,15591629,7798913,19992,9.0,6868853,2699,9.0,15332891.0
2010,North Dakota,1636291,557777,29336,2.0,489678,3416,2.0,1576431.0
2010,Ohio,19061254,9457368,20155,8.0,8314921,2924,8.0,18593832.0
2010,Oklahoma,5816799,3030204,19196,9.0,2660456,1864,9.0,5749643.0
2010,Oregon,7950728,3168953,25089,4.0,2813811,8256,4.0,7852987.0
2010,Pennsylvania,24427501,10602044,23040,6.0,9347144,6134,6.0,23852758.0
2010,Rhode Island,2253355,885689,25442,3.0,773282,9140,3.0,2167740.0
2010,South Carolina,8783890,3799016,23121,6.0,3339308,6305,6.0,8792126.0
2010,South Dakota,1768903,657351,26910,3.0,576836,666,2.0,1715516.0
2010,Tennessee,9762252,5200218,18773,0.0,4591824,1260,0.0,9619322.0
2010,Texas,44278319,19862797,22292,7.0,17234599,5692,6.0,43070882.0
2010,Utah,2799151,2074796,13491,0.0,1767313,5838,0.0,2728540.0
2010,Vermont,1481262,529514,27974,2.0,465271,1837,2.0,1463503.0
2010,Virginia,14004771,6590934,21249,8.0,5820350,4062,8.0,13684740.0
2010,Washington,12437363,5520420,22530,6.0,4878383,5495,7.0,12240638.0
2010,West Virginia,2764142,1557168,17751,0.0,1389741,9890,0.0,2691418.0
2010,Wisconsin,13698934,4664291,29370,2.0,4108445,3343,2.0,13384195.0
2010,Wyoming,1216455,457981,26561,3.0,404675,60,3.0,1176681.0
2010,Northeast Region,107308878,46044892,23305,,40629646,6411,,5387064.0
2010,Midwest Region,125383689,54611756,22959,,47925979,6162,,22171715.0
2010,South Region,204434091,93336183,21903,,82048150,4916,,1112389.0
2010,West Region,133854411,58277418,22968,,50970929,6261,,30714073.0
2010,United States,570981069,252270249,22634,,221574704,5769,,58168547.0
2011,Alabama,7806021,3934061,19842,9.0,3467668,2511,9.0,7689004.0
2011,Alaska,1643607,574803,28594,2.0,502699,2696,2.0,1605252.0
2011,Arizona,12452751,5215056,23878,5.0,4574939,7219,5.0,12184171.0
2011,Arkansas,4104010,2387410,17190,0.0,2103411,9511,0.0,4031001.0
2011,California,68814853,30549028,22526,7.0,26698281,5775,7.0,67074950.0
2011,Colorado,11319037,4154290,27247,3.0,3677266,781,3.0,10966268.0
2011,Connecticut,7013275,2982447,23515,5.0,2625845,6709,6.0,6806377.0
2011,Delaware,2661021,749469,35505,1.0,662152,187,1.0,2559598.0
2011,District of Columbia,2056436,537580,38254,1.0,481567,2703,1.0,2012907.0
2011,Florida,41110789,15992865,25706,4.0,14308639,8731,4.0,40485184.0
2011,Georgia,15598116,7867058,19827,9.0,6882242,2664,9.0,15557790.0
2011,Hawaii,2865142,1139977,25133,4.0,1020993,8062,4.0,2803166.0
2011,Idaho,2715703,1247728,21765,8.0,1088310,4953,7.0,2650876.0
2011,Illinois,24664149,10494225,23503,6.0,9228306,6727,5.0,24056496.0
2011,Indiana,10681442,5282459,20221,8.0,4621385,3113,8.0,10384483.0
2011,Iowa,5919926,2503261,23649,5.0,2197447,6940,5.0,5650236.0
2011,Kansas,4369419,2301002,18989,0.0,2013807,1697,0.0,4278907.0
2011,Kentucky,6410097,3577085,17920,0.0,3165679,249,0.0,6372172.0
2011,Louisiana,9533289,3706187,25723,3.0,3262406,9222,3.0,9349485.0
2011,Maine,2930768,1125369,26043,3.0,1005790,9139,3.0,2846573.0
2011,Maryland,10537760,4803229,21939,7.0,4244027,4830,8.0,10334803.0
2011,Massachusetts,14082758,5542920,25407,4.0,4891545,8790,4.0,13715753.0
2011,Michigan,18314659,8138565,22504,7.0,7132733,5677,7.0,17843946.0
2011,Minnesota,10753130,4353029,24703,4.0,3842303,7986,4.0,10555549.0
2011,Mississippi,5325980,2398998,22201,7.0,2094466,5429,7.0,5316725.0
2011,Missouri,12034343,4918082,24470,5.0,4336306,7753,5.0,11719142.0
2011,Montana,2454277,825014,29748,2.0,732240,3517,2.0,2428620.0
2011,Nebraska,3379805,1479166,22849,6.0,1297666,6045,6.0,3314489.0
2011,Nevada,7381636,2201619,33528,1.0,1954344,7770,1.0,7180820.0
2011,New Hampshire,5283571,1110176,47592,1.0,979439,3945,1.0,5116066.0
2011,New Jersey,17182718,7263864,23655,5.0,6440140,6681,6.0,16750924.0
2011,New Mexico,3936563,1677539,23466,6.0,1471839,6746,5.0,3913344.0
2011,New York,34233146,16218987,21107,8.0,14353084,3851,8.0,33698628.0
2011,North Carolina,15845041,7879781,20108,9.0,6956632,2777,9.0,15719606.0
2011,North Dakota,1797920,565970,31767,1.0,497610,6131,1.0,1732688.0
2011,Ohio,19125107,9480762,20173,9.0,8356729,2886,9.0,18894650.0
2011,Oklahoma,5871667,3053762,19228,9.0,2686045,1860,9.0,5799084.0
2011,Oregon,8304843,3204889,25913,3.0,2852380,9115,3.0,8170801.0
2011,Pennsylvania,24773004,10645944,23270,6.0,9413571,6316,6.0,24140817.0
2011,Rhode Island,2263461,887226,25512,4.0,777488,9112,4.0,2193487.0
2011,South Carolina,8868362,3835682,23121,6.0,3384874,6200,6.0,8877317.0
2011,South Dakota,1837622,663479,27697,2.0,582721,1535,2.0,1801068.0
2011,Tennessee,10677306,5245515,20355,8.0,4643139,2996,8.0,10673350.0
2011,Texas,45833875,20215808,22672,6.0,17575107,6079,6.0,44583643.0
2011,Utah,2864107,2108749,13582,0.0,1799181,5919,0.0,2784682.0
2011,Vermont,1516969,532000,28514,2.0,467364,2458,2.0,1498786.0
2011,Virginia,14130744,6662539,21209,8.0,5896099,3966,8.0,13933627.0
2011,Washington,12577475,5597206,22471,7.0,4962992,5343,7.0,12323730.0
2011,West Virginia,2775898,1560349,17790,0.0,1395648,9890,0.0,2742798.0
2011,Wisconsin,13989411,4685021,29860,2.0,4130877,3865,2.0,13664922.0
2011,Wyoming,1225738,460774,26602,3.0,408288,21,3.0,1182514.0
2011,Northeast Region,109279670,46308933,23598,,40954266,6683,,7110728.0
2011,Midwest Region,126866934,54865021,23123,,48237890,6300,,24893156.0
2011,South Region,209146412,94407378,22154,,83209801,5135,,5520940.0
2011,West Region,138555733,58956672,23501,,51743752,6777,,34991898.0
2011,United States,583848748,254538004,22938,,224145709,6048,,69346437.0
2012,Alabama,7924089,3956023,20030,9.0,3497749,2655,9.0,7900134.0
2012,Alaska,1650801,582823,28324,2.0,512143,2233,2.0,1612117.0
2012,Arizona,12879177,5297645,24311,5.0,4660528,7635,5.0,12588546.0
2012,Arkansas,4329204,2399688,18041,0.0,2119676,424,0.0,4305824.0
2012,California,72728613,30867612,23561,6.0,27093829,6843,6.0,71506046.0
2012,Colorado,11636066,4222887,27555,3.0,3746026,1062,3.0,11224429.0
2012,Connecticut,7145159,2996561,23845,5.0,2638736,7078,5.0,6936565.0
2012,Delaware,2721178,757299,35933,1.0,671454,527,1.0,2636215.0
2012,District of Columbia,2109092,548694,38438,1.0,493229,2761,1.0,2059340.0
2012,Florida,44585704,16225947,27478,3.0,14569717,602,3.0,43934105.0
2012,Georgia,15819120,7968359,19852,9.0,6984539,2649,9.0,15770842.0
2012,Hawaii,2920350,1152752,25334,4.0,1036573,8173,4.0,2849431.0
2012,Idaho,2773976,1260510,22007,8.0,1101867,5175,7.0,2702422.0
2012,Illinois,24797363,10530134,23549,6.0,9282277,6715,6.0,24438363.0
2012,Indiana,11066646,5310431,20839,8.0,4655979,3769,8.0,10750691.0
2012,Iowa,6037958,2514059,24017,5.0,2209581,7326,5.0,5749311.0
2012,Kansas,4517485,2317049,19497,9.0,2029832,2255,9.0,4482228.0
2012,Kentucky,6719900,3596430,18685,0.0,3190830,1060,0.0,6681326.0
2012,Louisiana,9681910,3732092,25942,4.0,3298373,9354,4.0,9601415.0
2012,Maine,2988074,1127612,26499,4.0,1009987,9585,4.0,2907633.0
2012,Maryland,10693818,4849699,22050,7.0,4297392,4884,8.0,10493602.0
2012,Massachusetts,14341585,5596126,25628,4.0,4945618,8999,4.0,13982051.0
2012,Michigan,18556717,8172999,22705,7.0,7187502,5818,7.0,18103657.0
2012,Minnesota,11867733,4384037,27070,3.0,3875623,621,3.0,11609253.0
2012,Mississippi,5388437,2408168,22376,7.0,2109223,5547,7.0,5371627.0
2012,Missouri,11962475,4938863,24221,5.0,4366044,7399,5.0,11656298.0
2012,Montana,2555491,831328,30740,2.0,739438,4560,2.0,2526412.0
2012,Nebraska,3448717,1489769,23149,6.0,1307759,6371,6.0,3432158.0
2012,Nevada,7339303,2234651,32843,1.0,1990190,6877,1.0,7208218.0
2012,New Hampshire,5183984,1118102,46364,1.0,987884,2476,1.0,5023994.0
2012,New Jersey,17479650,7292592,23969,5.0,6475591,6993,5.0,17015786.0
2012,New Mexico,3975489,1687101,23564,6.0,1483903,6791,6.0,3935102.0
2012,New York,35388820,16301882,21708,8.0,14474529,4449,8.0,34761482.0
2012,North Carolina,16258025,7974618,20387,8.0,7053347,3050,8.0,16125255.0
2012,North Dakota,1979814,578194,34241,1.0,509218,8880,1.0,1929126.0
2012,Ohio,19322694,9503909,20331,9.0,8396322,3013,9.0,19095158.0
2012,Oklahoma,5966931,3080614,19369,0.0,2715621,1973,0.0,5886354.0
2012,Oregon,8606478,3234557,26608,3.0,2887505,9806,3.0,8550583.0
2012,Pennsylvania,24998476,10678406,23410,6.0,9467728,6404,6.0,24686418.0
2012,Rhode Island,2294677,890124,25779,4.0,782416,9328,4.0,2221162.0
2012,South Carolina,9004291,3880550,23204,6.0,3436408,6203,6.0,9007612.0
2012,South Dakota,1855677,671791,27623,2.0,590847,1407,2.0,1820074.0
2012,Tennessee,10596116,5298871,19997,9.0,4702731,2532,9.0,10559429.0
2012,Texas,46954517,20606774,22786,7.0,17951544,6156,7.0,46234252.0
2012,Utah,2948412,2144804,13747,0.0,1835255,6065,0.0,2865475.0
2012,Vermont,1557018,532477,29241,2.0,468278,3250,2.0,1558100.0
2012,Virginia,14327294,6740278,21256,8.0,5976825,3971,8.0,14128523.0
2012,Washington,12762722,5663816,22534,7.0,5038910,5328,7.0,12625531.0
2012,West Virginia,2815563,1561354,18033,0.0,1400347,106,0.0,2781687.0
2012,Wisconsin,14209623,4705688,30197,2.0,4154219,4205,2.0,14013209.0
2012,Wyoming,1281557,468941,27329,3.0,416378,779,3.0,1250223.0
2012,Northeast Region,111377443,46533882,23935,,41250767,7000,,9137523.0
2012,Midwest Region,129622902,55116923,23518,,48565203,6690,,27405603.0
2012,South Region,215895189,95585458,22587,,84469005,5559,,14360522.0
2012,West Region,144058435,59649427,24151,,52542545,7417,,41566262.0
2012,United States,600953968,256885690,23394,,226827520,6494,,92723942.0
2013,Alabama,7924445,3977053,19925,9.0,3523786,2488,9.0,7886268.0
2013,Alaska,1622425,589390,27527,3.0,519701,1218,3.0,1582645.0
2013,Arizona,12651005,5375664,23534,5.0,4740511,6687,5.0,12529003.0
2013,Arkansas,4346636,2409754,18038,0.0,2131571,392,0.0,4329462.0
2013,California,72840335,31178505,23362,6.0,27467761,6518,6.0,71790544.0
2013,Colorado,12071029,4297522,28088,2.0,3819641,1603,2.0,11819179.0
2013,Connecticut,7132681,3007293,23718,5.0,2650027,6916,5.0,6939611.0
2013,Delaware,2757733,766234,35991,1.0,681756,450,1.0,2671338.0
2013,District of Columbia,2142968,559928,38272,1.0,505326,2408,1.0,2093787.0
2013,Florida,45239443,16462472,27480,3.0,14812445,542,3.0,44713591.0
2013,Georgia,15894071,8044286,19758,9.0,7066062,2494,9.0,15844261.0
2013,Hawaii,2975414,1164308,25555,4.0,1049864,8341,4.0,2910963.0
2013,Idaho,2808904,1277042,21995,8.0,1117869,5127,7.0,2728274.0
2013,Illinois,24622900,10566125,23304,6.0,9338572,6367,6.0,24275870.0
2013,Indiana,11150695,5345670,20859,8.0,4697127,3739,8.0,10962454.0
2013,Iowa,5908216,2529680,23356,6.0,2226372,6537,6.0,5649195.0
2013,Kansas,4384952,2327390,18841,0.0,2042079,1473,0.0,4337288.0
2013,Kentucky,6684304,3617335,18479,0.0,3213349,802,0.0,6650057.0
2013,Louisiana,9710707,3757223,25845,4.0,3329293,9167,4.0,9615584.0
2013,Maine,3045361,1130487,26938,3.0,1014757,11,3.0,3006827.0
2013,Maryland,10636825,4886679,21767,8.0,4339233,4513,8.0,10440746.0
2013,Massachusetts,14431571,5650090,25542,4.0,5000780,8859,4.0,14080623.0
2013,Michigan,18315717,8205293,22322,7.0,7236934,5309,7.0,17791604.0
2013,Minnesota,12040161,4418778,27248,3.0,3915479,750,3.0,11773115.0
2013,Mississippi,5428652,2418756,22444,7.0,2122672,5575,7.0,5406581.0
2013,Missouri,12122486,4961033,24435,5.0,4397721,7565,5.0,11935607.0
2013,Montana,2580060,839816,30722,2.0,748695,4461,2.0,2584686.0
2013,Nebraska,3475267,1499898,23170,6.0,1319008,6348,6.0,3459967.0
2013,Nevada,7528525,2266129,33222,1.0,2022932,7216,1.0,7395665.0
2013,New Hampshire,5242289,1123672,46653,1.0,995498,2660,1.0,5130416.0
2013,New Jersey,17347652,7316521,23710,5.0,6507760,6657,5.0,17042645.0
2013,New Mexico,3974978,1695714,23441,5.0,1495350,6582,5.0,3972406.0
2013,New York,36245806,16363297,22151,7.0,14568023,4880,8.0,36012500.0
2013,North Carolina,16457824,8072993,20386,9.0,7151543,3013,9.0,16296865.0
2013,North Dakota,2010224,593505,33870,1.0,524160,8351,1.0,1960435.0
2013,Ohio,19497353,9543145,20431,8.0,8449592,3075,8.0,19393216.0
2013,Oklahoma,5990299,3108961,19268,9.0,2745913,1815,9.0,5912682.0
2013,Oregon,8678281,3260968,26613,4.0,2918736,9733,4.0,8625934.0
2013,Pennsylvania,24970840,10701401,23334,6.0,9510669,6256,6.0,24691546.0
2013,Rhode Island,2279898,892631,25541,4.0,786512,8987,4.0,2228336.0
2013,South Carolina,9084842,3927964,23129,6.0,3487753,6048,6.0,9089036.0
2013,South Dakota,1915004,678553,28222,2.0,598139,2016,2.0,1878785.0
2013,Tennessee,10658368,5340593,19957,9.0,4749551,2441,9.0,10617768.0
2013,Texas,47202048,20957411,22523,7.0,18291266,5806,7.0,46480632.0
2013,Utah,2983379,2184530,13657,0.0,1871908,5938,0.0,2925999.0
2013,Vermont,1604383,533955,30047,2.0,470394,4107,2.0,1606385.0
2013,Virginia,14292379,6805852,21000,8.0,6045816,3640,8.0,14094184.0
2013,Washington,12834958,5726424,22414,7.0,5108283,5126,7.0,12708450.0
2013,West Virginia,2803997,1559844,17976,0.0,1401502,7,0.0,2768889.0
2013,Wisconsin,14170049,4729224,29963,2.0,4182560,3879,2.0,13987018.0
2013,Wyoming,1264552,473875,26685,3.0,421085,31,3.0,1232122.0
2013,Northeast Region,112300480,46719347,24037,,41504420,7057,,10157336.0
2013,Midwest Region,129613023,55398294,23397,,48927743,6491,,27560035.0
2013,South Region,217255543,96673338,22473,,85598837,5381,,16192913.0
2013,West Region,144813845,60329887,24004,,53302336,7168,,42534167.0
2013,United States,603982891,259120866,23309,,229333336,6336,,96337718.0
2014,Alabama,7940072,3995381,19873,9.0,3544670,2400,9.0,7896706.0
2014,Alaska,1648512,590023,27940,2.0,521144,1633,2.0,1624567.0
2014,Arizona,12957540,5473514,23673,5.0,4831349,6820,5.0,12869335.0
2014,Arkansas,4327999,2420934,17877,0.0,2142461,201,0.0,4302187.0
2014,California,73462796,31520680,23306,6.0,27843765,6384,6.0,72523721.0
2014,Colorado,12105723,4377672,27653,3.0,3894673,1083,3.0,11834220.0
2014,Connecticut,7124618,3016337,23620,6.0,2661435,6770,6.0,6980637.0
2014,Delaware,2790931,775774,35976,1.0,691868,339,1.0,2702807.0
2014,District of Columbia,2166029,568605,38094,1.0,514517,2098,1.0,2115794.0
2014,Florida,43888072,16744189,26211,4.0,15090776,9083,4.0,43200889.0
2014,Georgia,16014614,8145457,19661,9.0,7161355,2363,9.0,15962068.0
2014,Hawaii,3028586,1170856,25866,4.0,1058305,8617,4.0,2996680.0
2014,Idaho,2806111,1296741,21640,8.0,1135448,4714,7.0,2753948.0
2014,Illinois,24563309,10583741,23209,6.0,9371850,6210,6.0,24225439.0
2014,Indiana,11006530,5377522,20468,8.0,4729682,3271,8.0,10817002.0
2014,Iowa,6022832,2545532,23660,5.0,2240941,6876,5.0,5761858.0
2014,Kansas,4497783,2338218,19236,9.0,2052888,1910,9.0,4459582.0
2014,Kentucky,6807393,3631466,18746,0.0,3228726,1084,0.0,6852749.0
2014,Louisiana,9768229,3778533,25852,4.0,3353308,9130,4.0,9666641.0
2014,Maine,3070288,1135174,27047,3.0,1020895,74,3.0,3029336.0
2014,Maryland,10584107,4919512,21515,8.0,4376581,4184,8.0,10474226.0
2014,Massachusetts,14504467,5705462,25422,4.0,5057088,8681,4.0,14260289.0
2014,Michigan,19107437,8238918,23192,6.0,7282231,6238,6.0,18614546.0
2014,Minnesota,12503542,4454213,28071,2.0,3952182,1637,2.0,12320864.0
2014,Mississippi,5422295,2426413,22347,7.0,2132130,5431,7.0,5389364.0
2014,Missouri,11974191,4982683,24032,5.0,4423401,7070,5.0,11806428.0
2014,Montana,2611810,847168,30830,2.0,756715,4515,2.0,2612626.0
2014,Nebraska,3475461,1512501,22978,6.0,1330699,6118,6.0,3460929.0
2014,Nevada,7799815,2305548,33831,1.0,2061304,7839,1.0,7658072.0
2014,New Hampshire,5127792,1133627,45234,1.0,1006901,926,1.0,4998220.0
2014,New Jersey,17542283,7337688,23907,5.0,6536801,6836,5.0,17229597.0
2014,New Mexico,4100857,1698693,24141,4.0,1500684,7327,4.0,4117431.0
2014,New York,36164083,16411263,22036,7.0,14644554,4695,8.0,35943568.0
2014,North Carolina,16926513,8170126,20718,8.0,7244796,3364,8.0,16739021.0
2014,North Dakota,2065797,604231,34189,1.0,534642,8639,1.0,2013370.0
2014,Ohio,19404990,9581761,20252,9.0,8495730,2841,9.0,19403333.0
2014,Oklahoma,5982045,3132272,19098,0.0,2767586,1615,0.0,5981842.0
2014,Oregon,8909864,3301380,26988,3.0,2958233,119,3.0,8856511.0
2014,Pennsylvania,25145466,10726794,23442,6.0,9550351,6329,6.0,24812360.0
2014,Rhode Island,2135055,895352,23846,5.0,790343,7014,5.0,2099338.0
2014,South Carolina,9081760,3987349,22776,7.0,3545487,5615,7.0,9200303.0
2014,South Dakota,1879066,683981,27472,3.0,603748,1123,3.0,1844414.0
2014,Tennessee,10864630,5389472,20159,9.0,4799004,2639,9.0,10944664.0
2014,Texas,47797777,21386316,22350,7.0,18682027,5585,7.0,47023473.0
2014,Utah,3043598,2223101,13691,0.0,1905588,5972,0.0,2979492.0
2014,Vermont,1635052,534281,30603,2.0,471808,4655,2.0,1636269.0
2014,Virginia,14489283,6867753,21098,8.0,6108133,3721,8.0,14266194.0
2014,Washington,13080401,5812181,22505,7.0,5193375,5187,7.0,12958291.0
2014,West Virginia,2768722,1557628,17775,0.0,1400416,9771,0.0,2771790.0
2014,Wisconsin,14151977,4752200,29780,2.0,4208782,3625,2.0,13970442.0
2014,Wyoming,1291646,474103,27244,3.0,421852,618,3.0,1257759.0
2014,Northeast Region,112449103,46895978,23978,,41740176,6940,,11282531.0
2014,Midwest Region,130652916,55655501,23475,,49226776,6541,,28730700.0
2014,South Region,217620471,97897180,22229,,86783841,5076,,16171581.0
2014,West Region,146847258,61091660,24037,,54082435,7152,,44750752.0
2014,United States,607569747,261540319,23230,,231833228,6207,,99382074.0
2015,Alabama,8063792,4010588,20106,9.0,3561343,2643,9.0,8101691.0
2015,Alaska,1679052,591711,28376,2.0,524178,2032,2.0,1654790.0
2015,Arizona,13089329,5572275,23490,6.0,4924573,6580,6.0,12979117.0
2015,Arkansas,4447392,2432813,18281,0.0,2154349,644,0.0,4472219.0
2015,California,72724052,31843936,22838,6.0,28200824,5788,6.0,72401097.0
2015,Colorado,12401805,4474425,27717,3.0,3985098,1120,3.0,12115729.0
2015,Connecticut,7265026,3017426,24077,5.0,2667617,7234,5.0,7097287.0
2015,Delaware,2868254,784655,36554,1.0,701241,903,1.0,2797043.0
2015,District of Columbia,2206983,578900,38124,1.0,525300,2014,1.0,2169570.0
2015,Florida,45042324,17070421,26386,4.0,15410074,9229,4.0,44698390.0
2015,Georgia,16110724,8256677,19512,9.0,7265718,2174,9.0,16049248.0
2015,Hawaii,3074444,1178048,26098,4.0,1066575,8825,4.0,3037029.0
2015,Idaho,2860424,1316543,21727,7.0,1153130,4806,7.0,2803679.0
2015,Illinois,24984858,10583794,23607,5.0,9387424,6615,5.0,24589515.0
2015,Indiana,11532472,5397897,21365,8.0,4752617,4266,8.0,11329330.0
2015,Iowa,6034640,2556582,23604,5.0,2252966,6785,5.0,5836199.0
2015,Kansas,4487639,2349661,19099,0.0,2064214,1740,0.0,4508602.0
2015,Kentucky,7169078,3646515,19660,9.0,3243134,2105,9.0,7216599.0
2015,Louisiana,9836557,3799447,25889,4.0,3376580,9132,4.0,9710326.0
2015,Maine,3157622,1135401,27811,3.0,1023038,865,3.0,3110798.0
2015,Maryland,10603629,4948805,21427,8.0,4409633,4047,8.0,10503105.0
2015,Massachusetts,14466941,5743776,25187,4.0,5099120,8371,5.0,14231323.0
2015,Michigan,18509336,8258436,22413,7.0,7312497,5312,7.0,18148660.0
2015,Minnesota,12239939,4483967,27297,3.0,3983942,723,3.0,12108988.0
2015,Mississippi,5450625,2430082,22430,7.0,2137704,5498,6.0,5472930.0
