Year,State,Gallons of ethanol (absolute alcohol),Population (age 14 and older),Gallons of ethanol per capita age 14 and older,Decile for per capita consumption age 14 and older,Population (age 21 and older),Gallons of ethanol per capita age 21 and older,Decile for per capita consumption age 21 and older,Gallons of ethanol derived from time-varying ABV
1976,Minnesota,8293955,3045313,27235,5.0,2472866,3540,5.0,
1976,Mississippi,3517215,1809599,19436,9.0,1447381,4301,9.0,
1976,Missouri,8277510,3780577,21895,8.0,3114572,6577,8.0,
1976,Montana,1805050,581880,31021,3.0,472386,8211,2.0,
1976,Nebraska,3066790,1202494,25504,6.0,985657,1114,6.0,
1976,Nevada,3233940,500376,64630,1.0,416183,7705,1.0,
1976,New Hampshire,3467375,648701,53451,1.0,535248,4781,1.0,
1976,New Jersey,15718130,5731327,27425,5.0,4783076,2862,6.0,
1976,New Mexico,2502500,882507,28357,5.0,699760,5762,4.0,
1976,New York,40081220,14122644,28381,4.0,11807695,3945,5.0,
1976,North Carolina,8814720,4328177,20366,8.0,3531763,4958,8.0,
1976,North Dakota,1374590,499164,27538,5.0,401279,4255,5.0,
1976,Ohio,18241165,8289532,22005,8.0,6789610,6866,8.0,
1976,Oklahoma,4140585,2201120,18811,9.0,1817393,2783,9.0,
1976,Oregon,5035910,1854888,27149,6.0,1545101,2593,6.0,
1976,Pennsylvania,21818845,9400798,23210,7.0,7818519,7907,8.0,
1976,Rhode Island,2252160,749663,30042,4.0,621211,6254,3.0,
1976,South Carolina,5385765,2231744,24133,7.0,1792078,53,7.0,
1976,South Dakota,1254660,528877,23723,7.0,426150,9442,7.0,
1976,Tennessee,6273580,3360940,18666,9.0,2773138,2623,0.0,
1976,Texas,24546870,9769246,25127,7.0,7948274,883,7.0,
1976,Utah,1484485,908319,16343,0.0,714548,775,0.0,
1976,Vermont,1348045,371205,36315,1.0,302053,4629,1.0,
1976,Virginia,9096430,3969705,22915,8.0,3243160,8048,7.0,
1976,Washington,8332940,2864116,29094,4.0,2365370,5229,4.0,
1976,West Virginia,2634610,1457597,18075,0.0,1211764,1742,0.0,
